County;Income_Ratio;Single_Parent_Households;Association_Rate;Violent_Crime_Rate;Injury_Death_Rate;Presence_of_violation;Severe_Housing_Problems;Drive_Alone
Pickens_Alabama;5.7846574095;44.042196116;11.808699075;166.21551028;82.072579848;No;15.761935906;82.58302583
Pike_Alabama;6.568135538;46.680018487;10.514931202;564.40203486;66.736007984;No;15.291357059;84.587966923
Randolph_Alabama;4.7906976744;32.623250152;10.595090941;196.49835515;97.101091063;No;17.106001122;85.452380952
Russell_Alabama;4.852205006;45.851742759;9.9704325105;504.99623939;79.912945897;No;16.928956835;86.00874979
St. Clair_Alabama;4.1636916395;29.333533323;8.4072757018;299.39947706;90.993062066;No;11.710444028;86.469952272
Shelby_Alabama;4.1431624593;19.546567408;11.109950527;263.62287755;59.11235659;No;10.577877805;86.219645081
Sumter_Alabama;7.2359411692;64.172159752;12.26993865;435.48017419;102.51388528;No;26.791277259;87.355508375
Talladega_Alabama;4.7588466579;44.185096575;11.984569866;468.57277443;99.641093772;No;15.513126492;83.701419286
Tallapoosa_Alabama;5.3994579246;45.035871326;14.977778869;638.9143409;82.592121982;No;17.182235835;84.977519175
Tuscaloosa_Alabama;4.8520988623;38.42212874;11.49916061;401.7177234;60.533517742;No;17.778099233;85.550890401
Walker_Alabama;5.0663226781;36.504286013;14.314959903;449.85017832;120.32364605;No;11.5625;85.766346919
Washington_Alabama;4.7415703982;39.293248945;17.30723323;243.10453495;121.71547218;No;9.4539527302;83.214540271
Wilcox_Alabama;5.9586891546;61.623056504;9.1024940834;644.66684699;112.38195363;Yes;15.734720416;88.815789474
Winston_Alabama;4.3751453222;32.012257406;11.762234825;107.48016191;91.060985798;No;11.004784689;82.550731477
Aleutians East_Alaska;4.3479992485;41.45785877;6.067961165;212.45766781;100.9723261;No;14.492753623;26.381909548
Aleutians West_Alaska;3.2154905412;30.620985011;7.0834071188;294.61756374;70.710866727;No;18.421052632;45.378787879
Anchorage_Alaska;3.6982260265;29.91499713;11.770939529;1006.6571953;81.368708742;Yes;16.272878536;75.824189763
Bethel_Alaska;5.2241638027;37.60178828;3.8958147818;225.1025669;153.99035886;Yes;59.576837416;24.853700516
Bristol Bay_Alaska;3.9111519435;35.885167464;11.135857461;0;284.21512899;No;16;58.904109589
Denali_Alaska;3.2834168599;10.862619808;20.481310804;230.36017998;127.59984688;No;26.470588235;35.045513654
Dillingham_Alaska;4.95102932;37.442622951;4.0371417037;115.96443757;152.72698043;No;38.518518519;37.26899384
Fairbanks North Star_Alaska;3.734959663;27.85397675;9.8404651856;403.19749386;79.842795739;Yes;23.229342327;74.751399281
Haines_Alaska;4.2003205128;29.386892178;16.025641026;155.82391897;105.2053792;No;22.127659574;56.683710738
Hoonah-Angoon_Alaska;3.8466482678;52.435530086;0;89.245872378;124.07497674;No;19.662921348;38.090452261
Juneau_Alaska;3.2087011764;24.516406362;17.863742762;714.15574964;78.20967583;No;14.156004953;67.240987149
Kenai Peninsula_Alaska;4.6586330398;25.235617884;14.699347076;411.13219481;95.926240312;Yes;19.478706074;68.282779064
Ketchikan Gateway_Alaska;4.1794518244;31.646401577;16.0046559;358.29234226;81.363418426;Yes;15.289648623;66.420881876
Kodiak Island_Alaska;4.1895101921;29.018847007;14.564520827;263.23249504;62.147709207;Yes;24.043715847;64.16481687
Kusilvak_Alaska;4.2339384652;48.97515528;6.2119517953;264.31718062;284.95676091;Yes;71.216617211;4.5849420849
Lake and Peninsula_Alaska;4.1672519549;51.648351648;6.4020486556;191.02196753;199.40179462;Yes;26.530612245;22.043010753
Matanuska-Susitna_Alaska;4.284679289;22.435332158;7.9528577588;411.13219481;86.721339389;Yes;20.321543408;72.229950115
Nome_Alaska;4.5001495918;45.699881376;7.058586266;454.58557684;161.96627052;Yes;50.769230769;25.821064553
North Slope_Alaska;4.1688686185;48.166259169;8.3281282532;809.23663729;94.9158138;Yes;43.62244898;23.171191554
Northwest Arctic_Alaska;5.2919967664;44.979469951;7.8196272644;225.86798932;160.99296305;Yes;52.230971129;18.522860492
Petersburg_Alaska;4.4598940252;31.396957123;25.404890441;411.13219481;80.584815518;No;16.73151751;45.233525272
Prince of Wales-Hyder_Alaska;4.6300611323;;14.179927525;365.19330059;144.9445685;No;18.281938326;50.711812235
Sitka_Alaska;3.4941546894;41.067653277;20.385050963;100.63174372;56.430860909;Yes;17.002881844;60.927436668
Skagway_Alaska;2.556075485;35.074626866;36.764705882;372.09302326;148.87282008;Yes;19.75308642;41.988130564
Southeast Fairbanks_Alaska;4.7893194781;27.015008338;10.180337405;368.62999271;101.3934355;No;27.895981087;59.122807018
Valdez-Cordova_Alaska;4.6802831264;18.553459119;17.103153394;315.58504612;101.5959023;Yes;18.936877076;67.063899733
Wrangell_Alaska;4.3686309989;44.583333333;8.2953131481;0;135.90913504;Yes;16;58.62745098
Yakutat_Alaska;3.256;34.899328859;16.638935108;117.8550383;137.37443118;No;18;48.739495798
Yukon-Koyukuk_Alaska;5.9729156354;50.298606503;7.2385088672;280.0140007;242.17451023;Yes;50;25.671641791
Apache_Arizona;7.0393520819;52.405378486;3.5561877667;108.96799672;199.46993227;Yes;33.964711988;77.950482958
Cochise_Arizona;4.9518850796;35.543403964;8.825634094;333.03112998;86.452512644;Yes;16.149513569;79.064900319
Coconino_Arizona;5.3388814913;38.620361237;9.7936242087;357.25313629;99.855827753;Yes;25.375375375;69.982507106
Gila_Arizona;4.5492340142;45.545107532;9.1493016655;574.25517398;149.78152169;Yes;16.953610713;78.241243358
Graham_Arizona;4.9874719101;36.001178435;4.787361366;108.85999395;79.715151193;Yes;17.244525547;76.752581647
Greenlee_Arizona;3.5575007974;31.431852986;6.2415479039;40.783034258;63.840653728;No;14.440993789;85.831509847
La Paz_Arizona;4.5630226267;50.313526426;4.9219865138;264;152.52152522;Yes;14.735718099;70.457763096
Maricopa_Arizona;4.5342336683;34.202060273;5.1991552198;408.91278239;72.6077586;Yes;18.639256301;76.398492209
Mohave_Arizona;4.1286647505;43.010988409;5.8465571087;221.32486208;121.04609619;Yes;16.936780898;79.853157122
Navajo_Arizona;5.8867425633;45.010286331;6.9074582371;280.6343814;145.57328233;No;25.19777322;73.078577133
Pima_Arizona;4.7844384634;39.833922705;6.2093709346;470.11635898;85.464161883;Yes;20.005902582;76.53373768
Pinal_Arizona;4.2321151028;35.082723081;3.5361016868;220.88403588;61.906676784;Yes;16.210815047;78.768581972
Santa Cruz_Arizona;4.626307321;39.930394432;5.6540176144;140.32005827;48.681506628;Yes;22.721354167;83.862924736
Yavapai_Arizona;4.1443313411;31.724045903;9.1327439906;299.58178042;126.58090998;Yes;18.248293793;75.1777041
Yuma_Arizona;4.3510468646;30.298066851;4.2308795853;330.44589467;62.042024175;Yes;19.479048698;80.732346391
Arkansas_Arkansas;4.8525060858;42.26728561;18.117931262;472.89628709;103.27770832;No;8.9735313105;80.845034136
Ashley_Arkansas;5.4261955651;36.448988108;17.079836034;320.91965034;76.075651939;Yes;12.492492492;85.055255718
Baxter_Arkansas;3.5990423387;31.973739349;10.959037553;182.38793547;102.2973052;No;11.753371869;84.121556229
Benton_Arkansas;4.1277594786;22.78539151;8.3626607199;274.52575313;60.930821984;Yes;11.217462356;85.254026219
Boone_Arkansas;3.8848881884;28.207306712;12.331117306;551.20743862;81.501777489;Yes;12.232620321;82.696672936
Bradley_Arkansas;5.7577263886;53.43481655;16.369588941;261.40255994;95.752560929;Yes;17.717391304;82.172080337
Calhoun_Arkansas;4.7859011009;47.567030785;15.552099533;211.17296986;103.59513487;No;11.764705882;87.414187643
Carroll_Arkansas;3.9446229649;27.398373984;14.106923244;336.59124863;96.509802227;Yes;16.674259681;80.21849043
Chicot_Arkansas;6.854269413;51.474201474;11.877569667;366.78138018;92.520363551;No;17.940199336;84.731359649
Clark_Arkansas;4.8629027419;36.510538642;18.095952686;329.47836278;67.315016563;Yes;15.264976959;78.777755944
Clay_Arkansas;4.9049811321;42.50755287;16.085790885;221.23893805;103.35369489;Yes;12.708018154;84.89220295
Cleburne_Arkansas;4.4825886813;26.901669759;15.832805573;367.18504555;103.06926097;No;10.9798129;80.947560235
Cleveland_Arkansas;4.3376025615;34.281200632;8.4941147919;95.277794319;93.310364628;No;7.9460269865;84.963325183
Columbia_Arkansas;6.3453846154;45.850536746;17.572486507;316.84489192;86.855577548;Yes;11.933298593;86.579818031
Conway_Arkansas;5.1379223716;36.252888049;16.239193772;210.99547189;88.403041825;Yes;14.832535885;81.715521384
Craighead_Arkansas;4.7186376246;41.382165103;8.6927764917;431.20608197;71.358692525;No;15.351839897;82.157221977
Crawford_Arkansas;4.0778761943;29.072779073;8.6723304479;380.19415898;69.287116141;Yes;14.355179704;86.879349441
Crittenden_Arkansas;4.8099773506;52.727003626;8.9367319996;1274.2625512;84.063644707;No;19.019073569;82.131551178
Cross_Arkansas;4.60168492;35.830058939;15.847860539;664.31748599;94.230970579;No;13.583815029;79.905437352
Dallas_Arkansas;3.8575687515;29.287392326;24.099611728;597.36380754;68.144886513;No;11.384615385;74.991255684
Desha_Arkansas;5.1775746299;50;17.682721455;730.14190661;76.191738165;Yes;16.129032258;85.415244596
Drew_Arkansas;6.1573318546;39.226519337;12.331778457;361.86573717;78.172686677;No;18.113465482;79.040805511
Faulkner_Arkansas;4.5794550845;30.199146515;8.917833212;361.23582836;64.003316984;No;15.252864252;83.469921226
Franklin_Arkansas;5.2553679383;22.046285018;12.48156133;427.00227547;88.707232447;No;14.222549742;81.264420858
Fulton_Arkansas;4.6816867773;30.490317264;9.0736616349;183.62849914;85.510845077;Yes;11.320754717;85.238326848
Garland_Arkansas;5.0747112892;39.285528844;11.489889923;644.64141821;126.07445158;No;17.212707868;79.770639848
Grant_Arkansas;5.0969602494;29.235561946;12.719831877;254.38256926;88.386070355;No;10.349854227;85.279187817
Greene_Arkansas;4.1649861605;34.391634981;10.762814476;379.01637852;93.818834471;No;12.110311751;86.913754687
Hempstead_Arkansas;4.533467718;38.261322228;11.832165286;628.47746266;72.25433526;Yes;16.230031949;82.102830734
Hot Spring_Arkansas;4.5444019914;35.091511745;12.584646731;230.12552301;118.98924911;Yes;13.803049032;84.324449237
Howard_Arkansas;4.9553134864;46.777427671;17.193690663;153.55230141;77.339520495;Yes;12.772277228;79.569694741
Independence_Arkansas;4.3545046032;34.362665428;13.990529488;496.48940056;85.092632486;Yes;13.974719101;81.403810532
Izard_Arkansas;4.4544771808;22.65560166;16.377577607;221.24723441;111.24625471;No;13.603603604;77.939554379
Jackson_Arkansas;5.0464568615;44.98707268;12.194413797;692.10139285;81.756733415;Yes;14.03785489;83.446186743
Jefferson_Arkansas;4.974355645;52.610744581;14.710923218;1008.8679351;88.718190598;No;16.625177809;86.90900812
Johnson_Arkansas;4.6326049564;25.21206409;9.1687041565;243.57966206;67.319461444;Yes;15.430267062;77.763671875
Lafayette_Arkansas;6.5274811833;44.045801527;10.223455528;178.27854239;82.696475419;Yes;13.780918728;82.643631981
Lawrence_Arkansas;4.8988239932;33.793663688;11.951000896;226.87244395;111.93007942;No;11.725168036;83.98143703
Lee_Arkansas;6.4447148141;50.802434975;15.037593985;293.51184346;85.397096499;Yes;16.920943135;78.485620677
Lincoln_Arkansas;4.6486339458;30.39538715;8.7559284933;154.85450879;70.837911294;No;13.985148515;83.253892596
Little River_Arkansas;4.9964363373;39.576487769;15.259818488;144.27122991;89.536965976;No;8.2857142857;83.933333333
Logan_Arkansas;4.1501919661;31.412952061;12.848751836;379.99907317;90.602921258;Yes;11.265969803;81.483288607
Lonoke_Arkansas;3.953417245;27.119914347;8.9992800576;340.31158036;81.875677076;Yes;12.099575453;86.894812023
Madison_Arkansas;4.5240996926;22.17121253;7.4664011946;187.53973299;104.24647383;Yes;13.406940063;80.490797546
Marion_Arkansas;4.1038363171;36.354202698;9.8009188361;342.15961284;108.88848107;Yes;15.074626866;80.822700438
Miller_Arkansas;4.9944343547;47.519455253;12.560805719;537.36952462;74.596469711;Yes;15.595518868;86.04832859
Mississippi_Arkansas;5.167854918;52.751736111;12.839967316;987.16908698;109.76797163;No;16.890315053;82.241368994
Monroe_Arkansas;5.5448242108;60.656793303;12.554052169;370.99494098;92.09849121;Yes;16.790490342;76.900796524
Montgomery_Arkansas;4.0546007776;23.817863398;6.7575177385;218.50759314;99.831395865;Yes;10.539845758;84.884090187
Nevada_Arkansas;4.1499038693;27.443805541;13.098356752;194.30792091;112.13643266;Yes;12.536023055;85.891858297
Newton_Arkansas;4.7595565229;20.520965693;6.3004032258;316.07560528;75.67158532;Yes;17.673716012;77.262103506
Ouachita_Arkansas;5.5490598831;52.126696833;19.918665449;619.67042308;84.319793048;Yes;15.165876777;86.336892569
Perry_Arkansas;3.849060678;23.85361552;10.85669167;518.59099804;107.29823055;Yes;10.013003901;77.300771208
Phillips_Arkansas;5.0640228945;62.356601206;14.756258235;1191.9390514;117.05634107;No;18.930547019;75.755287009
Pike_Arkansas;4.2988451567;29.445585216;10.155096012;141.74668496;91.603612846;No;13.318025258;79.495990836
Poinsett_Arkansas;4.0813699296;47.415014164;11.239229072;347.70361568;98.666755107;No;14.64728056;82.791401102
Polk_Arkansas;3.9823446759;36.612253551;17.349923165;296.81664152;93.931064486;No;16.624525917;76.996357523
Pope_Arkansas;4.9076959676;31.894960965;13.484062152;372.43062489;68.192150326;Yes;14.351954074;84.113586916
Prairie_Arkansas;4.3643478769;36.79245283;15.75566598;169.81017648;55.464454519;Yes;11.241830065;78.725314183
Pulaski_Arkansas;4.9401001541;44.665896609;15.994914177;1059.6289012;81.828810259;No;15.887577801;83.353044397
Randolph_Arkansas;4.8485771654;44.344008264;9.7432370472;294.55502173;87.76228957;Yes;13.565098841;83.182102628
St. Francis_Arkansas;5.1908396947;52.54793574;11.833867766;776.78775417;79.022231588;No;14.369034995;83.203125
Saline_Arkansas;3.6454471655;27.159685864;7.8346798312;352.4580766;69.841822786;Yes;10.401891253;85.91692548
Scott_Arkansas;4.8799167224;35.317460317;14.595699134;318.08172253;104.01301108;No;11.837237978;71.358344114
Searcy_Arkansas;4.8541681079;16.361339229;6.2758880382;126.76681245;133.41388511;Yes;11.987381703;72.697150431
Sebastian_Arkansas;4.7184941773;;11.189971282;635.56239012;64.283676023;Yes;16.165792658;82.256289885
Sevier_Arkansas;4.2244444444;30.797248078;10.644589001;216.05738484;72.003437583;Yes;15.967078189;72.638530003
Sharp_Arkansas;4.2336818861;34.341129492;17.485574401;361.2370526;115.90198672;Yes;15.611814346;78.669445892
Stone_Arkansas;4.9398933592;32.009626955;13.557699976;239.33942319;103.8222563;No;12.451361868;72.960263344
Union_Arkansas;5.514043319;41.756291114;23.817283827;583.01047675;87.324913548;Yes;16.812821288;89.431737187
Van Buren_Arkansas;4.7783372063;36.810551559;18.041857108;277.78607485;114.71178664;No;13.372093023;82.02690583
Washington_Arkansas;4.6568162413;28.835486494;9.0769966104;454.59715024;53.886796755;No;16.782917279;79.991471215
White_Arkansas;4.9989460839;29.109495435;11.228442022;344.45365823;84.914388553;Yes;14.079238225;82.199832074
Woodruff_Arkansas;6.2597945325;42.517482517;21.081162476;161.01880992;97.244732577;No;14.776632302;84.229390681
Yell_Arkansas;4.5408411908;37.835806876;12.063845583;333.9936426;77.325281685;Yes;15.74495771;78.99188876
Alameda_California;5.3113916999;26.60707916;6.2875370819;628.78196249;42.388911257;No;24.014814682;62.028011666
Alpine_California;5.4383457977;29.069767442;9.3370681606;442.47787611;161.89088554;Yes;26.388888889;62.087912088
Amador_California;4.3124497669;31.719473122;8.8275419308;237.07073752;91.801729738;Yes;18.994614004;80.711450144
Butte_California;5.4586394482;32.481069042;7.7579519007;327.05730855;91.142831811;No;23.259493671;75
Calaveras_California;4.894617801;36.474047558;8.6338580062;327.24573793;94.747517882;No;20.570321152;79.068056407
Colusa_California;3.8978248877;29.425596238;7.8747452288;200.95805585;76.171366997;Yes;19.095477387;76.92722954
Contra Costa_California;4.8061092272;25.772571354;5.5588493622;336.02779077;44.952184874;Yes;21.723927258;68.053414129
Del Norte_California;5.6026212674;44.405410153;5.4466230937;609.10920066;115.763493;No;23.3014862;73.744375532
El Dorado_California;4.9712117159;21.931573491;6.5185185185;217.58394569;71.870183399;Yes;19.93739286;77.769284668
Fresno_California;5.2151724138;40.771617186;5.3984274146;541.77921571;59.893814885;Yes;27.832807411;78.110010311
Glenn_California;5.4419560426;25.466255199;9.6136727791;408.14134579;97.079755302;No;22.485518694;75.940795202
Humboldt_California;4.7246648794;40.929220729;9.0013611814;432.13579506;111.43391571;Yes;25.85085321;72.031929573
Imperial_California;5.8423850662;33.382111918;4.7544545369;366.25347999;53.8029456;Yes;28.051668461;81.428571429
Inyo_California;4.0243107871;32.195121951;11.02292769;600.45306913;82.140471158;Yes;18.730358265;69.361228027
Kern_California;4.8824855573;36.445547345;4.6225762556;545.33785309;74.702259436;Yes;25.148247978;79.23855571
Kings_California;4.2717520858;36.670672782;4.0725039223;443.3772393;53.318795873;Yes;24.678137408;75.602729613
Lake_California;5.3113219323;44.525156752;6.5506269886;535.47314438;149.2225784;Yes;25.764030376;71.342777243
Lassen_California;4.7161308178;29.954954955;4.8590864917;586.92995433;104.90177379;No;16.537867079;80.050360536
Los Angeles_California;5.4332134546;35.410009069;5.6352810218;488.34611236;38.468160577;Yes;33.835161366;73.677948929
Madera_California;4.640941792;31.009143964;4.7189021119;620.23550783;62.95877816;Yes;25.417052827;76.35844228
Marin_California;5.7602012155;24.53886443;8.3253085544;177.85725089;55.071577689;No;22.986399151;65.293100739
Mariposa_California;4.8273309821;29.87654321;10.913268237;431.42857143;113.70484496;Yes;17.01837985;62.115186331
Mendocino_California;5.0936433447;40.300824323;8.901264436;640.48580677;100.37503764;Yes;27.193885051;74.580255205
Merced_California;4.6061116339;39.102848242;4.0942115293;555.33866693;68.165816896;Yes;25.698288068;78.834694328
Modoc_California;4.2133842577;24.602707475;5.6850483229;504.7955578;125.0306995;No;19.359145527;70.340356564
Mono_California;2.9877650666;16.947909024;8.5830770331;262.06203331;51.333970255;Yes;19.062181448;44.839994859
Monterey_California;4.2188759782;33.064530313;5.1466803911;420.63614456;53.848109571;Yes;30;71.065353722
Napa_California;4.5124175792;26.858770313;7.5264127851;397.68136308;52.290315834;Yes;22.769976765;76.062588249
Nevada_California;4.585088088;28.396644139;10.090104634;264.19005426;81.634137618;No;21.831930723;74.36091326
Orange_California;4.7618072253;25.584903964;6.0992292592;213.58280579;39.733834598;Yes;27.626058225;78.61363519
Placer_California;4.5608666986;20.677100572;7.3844180895;161.99867528;54.011209452;No;19.168727622;79.49681259
Plumas_California;4.667574021;29.950900164;16.105653084;574.82224099;127.62352134;Yes;19.537431528;78.515790964
Riverside_California;4.6624926167;30.105657525;4.0707932728;291.24456001;52.298616622;Yes;26.203109134;77.222414317
Sacramento_California;4.8191023979;34.227355399;7.3293451131;508.24109624;60.996717605;Yes;23.198652877;77.0608801
San Benito_California;3.6713226834;29.593295218;4.5443834786;298.70306703;58.087593373;Yes;24.88372093;80.26770943
San Bernardino_California;4.6496322757;35.933428921;4.420362451;441.88442142;45.244853421;Yes;27.49603223;78.900367875
San Diego_California;4.7507293575;28.940466388;5.8262394171;327.71883112;50.122832895;Yes;25.194328043;75.971804588
San Francisco_California;7.1433219119;25.18129663;9.0482462133;760.46400445;53.712583617;No;25.933736219;34.330072782
San Joaquin_California;4.8874766196;32.797528139;4.7566542049;787.32183644;62.810067817;Yes;25.904370649;77.399979071
San Luis Obispo_California;4.6906876427;25.822371694;9.0142000163;408.22505811;60.575006467;Yes;23.635047067;74.820328942
San Mateo_California;4.8614298121;21.374563603;5.8185374681;209.11245996;34.906663417;Yes;24.098032421;68.749353627
Santa Barbara_California;4.7934917355;31.80680477;7.822130578;318.05052279;51.546996688;No;29.464316995;67.988410436
Santa Clara_California;5.0287593224;22.173928137;5.6840620151;264.08835127;38.091761175;Yes;23.331161047;75.061868575
Santa Cruz_California;5.5181552663;27.757695461;7.0265370095;409.52586412;63.985287776;Yes;27.283755274;69.248914384
Shasta_California;4.7606475716;32.88719432;8.1277730459;726.13674647;95.559597224;Yes;21.715315315;82.036038331
Sierra_California;6.2167754786;38.262910798;3.393281303;422.22597534;147.02933904;No;04.dec;66.485013624
Siskiyou_California;4.497567179;36.450756264;11.467100888;343.55545308;115.82286884;Yes;22.027697936;74.379394015
Solano_California;4.2915177432;36.132458161;5.4519805455;476.30025821;58.319052054;Yes;21.788176311;76.605183523
Sonoma_California;4.4477304211;29.808179443;6.818136641;367.91949455;54.057291147;Yes;23.799126638;75.024744038
Stanislaus_California;4.5543061479;33.426685337;5.6872738016;578.4520988;57.944353312;Yes;25.281479949;80.479754763
Sutter_California;4.6213428113;29.238872583;5.4836473497;351.79749787;62.791215052;No;22.168259439;78.433046913
Tehama_California;4.5365498596;31.574740208;6.0054365004;540.13753282;85.27195437;Yes;19.595022147;81.236041917
Trinity_California;5.3157994803;38.721630384;5.4764512596;380.32936523;139.6176624;Yes;22.060164084;69.262472885
Tulare_California;4.8479294317;36.227498774;4.5391660531;381.80764333;56.722855523;Yes;27.667140825;78.025866566
Tuolumne_California;4.6925979553;30.49716383;9.2929893688;316.15673143;98.342648052;No;20.058730517;80.279471545
Ventura_California;4.3725611819;27.151526022;5.9312399822;240.48967302;50.020104733;Yes;24.35587612;78.204016328
Yolo_California;6.177588375;26.409601067;6.3020731967;331.88943992;50.088810952;No;24.81422321;67.018160516
Yuba_California;4.5836564968;30.533339875;5.0481567586;413.7271153;86.339627483;No;23.667462212;78.297273527
Adams_Colorado;3.7355938848;30.814632831;4.4762308129;372.42750473;73.814727082;Yes;18.486241461;77.665579012
Alamosa_Colorado;5.2266610001;29.768859538;11.40867059;110.40477878;97.4053646;Yes;18.887015177;75.783076204
